,(,),[,],{,},+,-,*,/,!,;,<,>,<=,>=,==,!=,||,&&,=,id,num,real,float,int,if,else,while,do,break,continue,FALSE,TRUE,＄,program,block,decls,decl,type,basic,stmts,stmt,loc,bool,join,equality,rel,expr,term,unary,factor,opa,opb,opc
53,,factor→real,,,,,factor→real,factor→real,factor→real,factor→real,,factor→real,factor→real,factor→real,factor→real,factor→real,factor→real,factor→real,factor→real,factor→real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,factor→false,,,,,factor→false,factor→false,factor→false,factor→false,,factor→false,factor→false,factor→false,factor→false,factor→false,factor→false,factor→false,factor→false,factor→false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,factor→true,,,,,factor→true,factor→true,factor→true,factor→true,,factor→true,factor→true,factor→true,factor→true,factor→true,factor→true,factor→true,factor→true,factor→true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,Shift 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,Shift 66,Shift 67,,,,Shift 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shift 65,,
58,,Shift 76,,,,,,,,,,,,,,,,,Shift 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,bool→join,,,,,,,,,,,,,,,,,bool→join,Shift 78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,join→equality,,,,,,,,,,,,,,,,,join→equality,join→equality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,Shift 66,Shift 67,,,,,Shift 80,Shift 81,Shift 82,Shift 83,Shift 84,Shift 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shift 79,,,,,Shift 65,,
62,,Shift 86,,,,,,,,,,,,,,,,,Shift 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Shift 87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,loc→loc[num],loc→loc[num],,,,loc→loc[num],loc→loc[num],loc→loc[num],loc→loc[num],,loc→loc[num],loc→loc[num],loc→loc[num],loc→loc[num],loc→loc[num],loc→loc[num],loc→loc[num],loc→loc[num],loc→loc[num],loc→loc[num],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Shift 48,,,,,,,Shift 49,,,Shift 50,,,,,,,,,,,Shift 51,Shift 52,Shift 53,,,,,,,,,Shift 54,Shift 55,,,,,,,,,,Shift 42,,,,,,Shift 88,Shift 45,Shift 46,,,Shift 47
66,opa→+,,,,,,,opa→+,,,opa→+,,,,,,,,,,,opa→+,opa→+,opa→+,,,,,,,,,opa→+,opa→+,,,,,,,,,,,,,,,,,,,,,
67,opa→-,,,,,,,opa→-,,,opa→-,,,,,,,,,,,opa→-,opa→-,opa→-,,,,,,,,,opa→-,opa→-,,,,,,,,,,,,,,,,,,,,,
68,,,,,stmt→loc=expr;,stmt→loc=expr;,,,,,,,,,,,,,,,,stmt→loc=expr;,,,,,stmt→loc=expr;,stmt→loc=expr;,stmt→loc=expr;,stmt→loc=expr;,stmt→loc=expr;,stmt→loc=expr;,,,,,,,,,,,,,,,,,,,,,,,
69,Shift 48,,,,,,,Shift 49,,,Shift 50,,,,,,,,,,,Shift 51,Shift 52,Shift 53,,,,,,,,,Shift 54,Shift 55,,,,,,,,,,Shift 42,,,,,,,Shift 89,Shift 46,,,Shift 47
70,opb→*,,,,,,,opb→*,,,opb→*,,,,,,,,,,,opb→*,opb→*,opb→*,,,,,,,,,opb→*,opb→*,,,,,,,,,,,,,,,,,,,,,
71,opb→/,,,,,,,opb→/,,,opb→/,,,,,,,,,,,opb→/,opb→/,opb→/,,,,,,,,,opb→/,opb→/,,,,,,,,,,,,,,,,,,,,,
